area_flag,median_household_income_est,restaurant_count
M2,61026,10
M1,54808,22
M2,53865,17
M1,57158,146
M2,39371,9
M1,40625,30
M1,61488,19
M1,73398,118
M2,49467,27
M1,58512,137
M1,50553,27
M1,70793,101
M1,51004,22
M1,53510,45
M1,62181,14
M1,80676,63
M1,76576,57
M1,48156,32
M1,68335,33
M1,57428,85
M2,44580,20
M2,41851,14
M2,51521,10
M1,50962,25
M1,71742,861
M1,63389,40
M2,58665,8
M1,53712,21
M1,55143,104
M2,55389,20
M1,80954,233
M1,53067,157
M1,83160,399
M1,50449,27
M1,85042,20
M1,60746,160
M1,49055,36
M1,49610,26
M1,58818,67
M2,61300,9
M1,44785,29
M1,69372,19
M1,71643,24
M1,60962,30
M1,53768,43
M1,58366,199
M1,70979,21
M1,56092,43
M1,68784,30
M1,52526,30
M1,56672,16
M2,42713,33
M1,66466,110
M1,94430,458
M1,88535,41
M1,51198,34
M2,75418,13
M2,58222,11
M1,79624,41
M1,97053,67
M1,41123,65
M1,57381,22
M1,60105,150
M1,58490,31
M1,74909,25
M1,87947,20
M1,55706,96
M1,62240,86
M1,52624,19
M1,46882,37
M1,57270,15
M1,65034,15
M1,64088,49
M2,58911,15
M1,62484,25
M1,53081,35
M1,47500,66
M1,70505,144
M1,66399,382
M1,75907,27
M1,55366,125
M1,70567,20
M1,75379,1315
M1,62563,38
M2,55717,12
M1,66825,373
M2,53088,19
M1,53547,54
M2,47138,9
M1,52178,22
M1,57228,388
M1,62579,23
M1,55670,34
M1,72633,114
M1,57359,42
M1,55725,148
M1,49013,62
M1,72555,13
M1,67207,383
M2,76218,20
M2,47879,26
M2,50527,9
M2,52951,13
M1,56991,65
M1,70835,13
M1,62627,52
M2,50906,16
M1,49729,22
M1,72265,993
M1,51967,25
M1,43111,16
M2,45971,24
M1,56439,38
M1,62001,78
M1,58169,193
M1,53447,30
M1,50839,20
M1,54533,95
M1,85641,428
M1,71164,102
M1,63474,741
M1,50010,33
M1,58001,29
M2,45643,12
M2,39625,10
M1,62178,20
M1,60316,45
M1,65303,98
M1,62413,23
M1,63460,30
M1,48472,33
M1,48823,113
M1,55246,33
M1,54531,39
